"AllTengwar","OOtehtaShift","UUtehtaShift","EEtehtaShift","DownEEtehtaShift","DblUnderStrokeShift","AtehtaShift","DownAtehtaShift","YtehtaShift","DownYtehtaShift","ItehtaShift","DownItehtaShift","EtehtaShift","DownEtehtaShift","OtehtaShift","UtehtaShift","ThinnasShift","DotinsideShift","UnderbarShift","InvAtehtaShift","OverbarShift","EngYtehtaShift","RevEtehtaShift","YantatehtaShift","Underliners","UptehtaCliche"
"ungwe.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm39","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline71","uptehtacliche_norm"
"extunque.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm39","dotinside","underbar.norm","invatehta.norm14","overbar.norm","engytehta.norm14","revetehta.norm14","yantatehta.norm14","uline71","uptehtacliche_ateng"
"harma.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm28","dotinside.norm30","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline72","uptehtacliche_norm"
"anna.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm26","dotinside.norm30","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline72","uptehtacliche_norm"
"hwesta.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm28","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline72","uptehtacliche_norm"
"vilya.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm25","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline72","uptehtacliche_norm"
"anca.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm39","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline73","uptehtacliche_norm"
"noldo.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm36","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline73","uptehtacliche_norm"
"extanca.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm39","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline71","uptehtacliche_norm"
"unque.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm39","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline73","uptehtacliche_norm"
